경로별,시간접근성,거리접근성,환승접근성,교통수단접근성
BB,0.883992,0.949002,0.623631,1
BD,0.842105,0.545072,0.527446,0.75
BGA,0.026307,0.552765,0.979995,0.6
BGB,0.089209,0.02831,0.942118,0.6
BI,0.494594,0.190829,0.273036,0.8
BS,0.634827,0.00883,0.519794,1
DD,0.803841,0.786422,0.66018,1
GGA,0.467466,0.617453,0.797243,0.5
GGB,0.927336,0.998612,0.819548,0.666667
II,0.25641,0.96136,-0.113317,0.5
SB,0.230561,0.999511,0.619648,1
SD,0.372775,0.594218,0.478011,1
SGA,0.982265,0.556357,0.974372,1
SGB,0.482986,0.847266,0.51336,0.8
SI,0.335281,0.46351,0.515787,0.75
SS,0.831081,0.877381,0.579934,1
,,,,
,,,,
,,,,
,,,,
,,,,
구분,종합접근성지표,,,
BB,0.919525,,TOP5,
BD,0.65115,,BB,0.919525
BGA,0.484997,,GGB,0.908222
BGB,0.28651,,SS,0.816263
BI,0.359317,,SGA,0.812097
BS,0.397939,,DD,0.787757
DD,0.787757,,,
GGA,0.59667,,,
GGB,0.908222,,,
II,0.104188,,,
SB,0.692902,,,
SD,0.545122,,,
SGA,0.812097,,,
SGB,0.666474,,,
SI,0.464146,,,
SS,0.816263,,,
